Date,Year,Month,Price for last transaction,Maximum,Minimum,Average price,%prom,Quantity,Traffic BEST mkd,Total traffic
10.2.2015,2015,2,"367,00",,,"367,00","0,00",0,0,0
11.2.2015,2015,2,"367,00",,,"367,00","0,00",0,0,0
12.2.2015,2015,2,"367,00",,,"367,00","0,00",0,0,0
13.2.2015,2015,2,"367,00","367,00","367,00","367,00","0,00",50,18.350,18.350
16.2.2015,2015,2,"367,00",,,"367,00","0,00",0,0,0
17.2.2015,2015,2,"367,00",,,"367,00","0,00",0,0,0
18.2.2015,2015,2,"367,00",,,"367,00","0,00",0,0,0
19.2.2015,2015,2,"367,00",,,"367,00","0,00",0,0,0
20.2.2015,2015,2,"367,00",,,"367,00","0,00",0,0,0
23.2.2015,2015,2,"367,00",,,"367,00","0,00",0,0,0
24.2.2015,2015,2,"367,00",,,"367,00","0,00",0,0,0
25.2.2015,2015,2,"367,00",,,"367,00","0,00",0,0,0
26.2.2015,2015,2,"367,00",,,"367,00","0,00",0,0,0
27.2.2015,2015,2,"367,00",,,"367,00","0,00",0,0,0
02.3.2015,2015,3,"367,00",,,"367,00","0,00",0,0,0
03.3.2015,2015,3,"367,00",,,"367,00","0,00",0,0,0
04.3.2015,2015,3,"367,00",,,"367,00","0,00",0,0,0
05.3.2015,2015,3,"367,00",,,"367,00","0,00",0,0,0
06.3.2015,2015,3,"367,00",,,"367,00","0,00",0,0,0
09.3.2015,2015,3,"367,00",,,"367,00","0,00",0,0,0
10.3.2015,2015,3,"367,00",,,"367,00","0,00",0,0,0
11.3.2015,2015,3,"367,00",,,"367,00","0,00",0,0,0
12.3.2015,2015,3,"367,00",,,"367,00","0,00",0,0,0
13.3.2015,2015,3,"367,00",,,"367,00","0,00",0,0,0
16.3.2015,2015,3,"367,00",,,"367,00","0,00",0,0,0
17.3.2015,2015,3,"367,00",,,"367,00","0,00",0,0,0
18.3.2015,2015,3,"367,00",,,"367,00","0,00",0,0,0
19.3.2015,2015,3,"367,00",,,"367,00","0,00",0,0,0
20.3.2015,2015,3,"367,00",,,"367,00","0,00",0,0,0
23.3.2015,2015,3,"367,00",,,"367,00","0,00",0,0,0
24.3.2015,2015,3,"367,00",,,"367,00","0,00",0,0,0
25.3.2015,2015,3,"375,00","375,00","375,00","375,00","2,18",5,1.875,1.875
26.3.2015,2015,3,"375,00",,,"375,00","0,00",0,0,0
27.3.2015,2015,3,"375,00",,,"375,00","0,00",0,0,0
30.3.2015,2015,3,"375,00",,,"375,00","0,00",0,0,0
31.3.2015,2015,3,"375,00",,,"375,00","0,00",0,0,0
01.4.2015,2015,4,"375,00",,,"375,00","0,00",0,0,0
02.4.2015,2015,4,"375,00",,,"375,00","0,00",0,0,0
03.4.2015,2015,4,"375,00",,,"375,00","0,00",0,0,0
06.4.2015,2015,4,"375,00",,,"375,00","0,00",0,0,0
07.4.2015,2015,4,"375,00",,,"375,00","0,00",0,0,0
08.4.2015,2015,4,"375,00",,,"375,00","0,00",0,0,0
09.4.2015,2015,4,"375,00",,,"375,00","0,00",0,0,0
14.4.2015,2015,4,"310,00","310,00","310,00","310,00","-17,33",100,31.000,31.000
15.4.2015,2015,4,"310,00",,,"310,00","0,00",0,0,0
16.4.2015,2015,4,"310,00",,,"310,00","0,00",0,0,0
17.4.2015,2015,4,"310,00",,,"310,00","0,00",0,0,0
20.4.2015,2015,4,"310,00",,,"310,00","0,00",0,0,0
21.4.2015,2015,4,"310,00",,,"310,00","0,00",0,0,0
22.4.2015,2015,4,"310,00",,,"310,00","0,00",0,0,0
23.4.2015,2015,4,"310,00",,,"310,00","0,00",0,0,0
24.4.2015,2015,4,"310,00",,,"310,00","0,00",0,0,0
27.4.2015,2015,4,"310,00",,,"310,00","0,00",0,0,0
28.4.2015,2015,4,"310,00",,,"310,00","0,00",0,0,0
29.4.2015,2015,4,"310,00",,,"310,00","0,00",0,0,0
30.4.2015,2015,4,"310,00",,,"310,00","0,00",0,0,0
04.5.2015,2015,5,"310,00",,,"310,00","0,00",0,0,0
05.5.2015,2015,5,"310,00",,,"310,00","0,00",0,0,0
06.5.2015,2015,5,"310,00",,,"310,00","0,00",0,0,0
07.5.2015,2015,5,"310,00",,,"310,00","0,00",0,0,0
08.5.2015,2015,5,"310,00",,,"310,00","0,00",0,0,0
11.5.2015,2015,5,"310,00",,,"310,00","0,00",0,0,0
12.5.2015,2015,5,"310,00",,,"310,00","0,00",0,0,0
13.5.2015,2015,5,"310,00",,,"310,00","0,00",0,0,0
14.5.2015,2015,5,"310,00",,,"310,00","0,00",0,0,0
15.5.2015,2015,5,"310,00",,,"310,00","0,00",0,0,0
18.5.2015,2015,5,"310,00",,,"310,00","0,00",0,0,0
19.5.2015,2015,5,"310,00",,,"310,00","0,00",0,0,0
20.5.2015,2015,5,"310,00",,,"310,00","0,00",0,0,0
21.5.2015,2015,5,"310,00",,,"310,00","0,00",0,0,0
22.5.2015,2015,5,"310,00",,,"310,00","0,00",0,0,0
26.5.2015,2015,5,"310,00",,,"310,00","0,00",0,0,0
27.5.2015,2015,5,"310,00",,,"310,00","0,00",0,0,0
28.5.2015,2015,5,"310,00",,,"310,00","0,00",0,0,0
01.6.2015,2015,6,"310,00",,,"310,00","0,00",0,0,0
02.6.2015,2015,6,"310,00",,,"310,00","0,00",0,0,0
03.6.2015,2015,6,"310,00",,,"310,00","0,00",0,0,0
04.6.2015,2015,6,"310,00",,,"310,00","0,00",0,0,0
05.6.2015,2015,6,"310,00",,,"310,00","0,00",0,0,0
08.6.2015,2015,6,"310,00",,,"310,00","0,00",0,0,0
09.6.2015,2015,6,"310,00",,,"310,00","0,00",0,0,0
10.6.2015,2015,6,"310,00",,,"310,00","0,00",0,0,0
11.6.2015,2015,6,"310,00",,,"310,00","0,00",0,0,0
12.6.2015,2015,6,"310,00",,,"310,00","0,00",0,0,0
15.6.2015,2015,6,"310,00",,,"310,00","0,00",0,0,0
16.6.2015,2015,6,"310,00",,,"310,00","0,00",0,0,0
17.6.2015,2015,6,"310,00",,,"310,00","0,00",0,0,0
18.6.2015,2015,6,"310,00",,,"310,00","0,00",0,0,0
19.6.2015,2015,6,"310,00",,,"310,00","0,00",0,0,0
22.6.2015,2015,6,"310,00",,,"310,00","0,00",0,0,0
23.6.2015,2015,6,"310,00",,,"310,00","0,00",0,0,0
24.6.2015,2015,6,"310,00",,,"310,00","0,00",0,0,0
25.6.2015,2015,6,"250,00","250,00","250,00","250,00","-19,35",576,144.000,144.000
26.6.2015,2015,6,"250,00",,,"250,00","0,00",0,0,0
29.6.2015,2015,6,"250,00",,,"250,00","0,00",0,0,0
30.6.2015,2015,6,"250,00",,,"250,00","0,00",0,0,0
01.7.2015,2015,7,"250,00",,,"250,00","0,00",0,0,0
02.7.2015,2015,7,"250,00",,,"250,00","0,00",0,0,0
03.7.2015,2015,7,"250,00",,,"250,00","0,00",0,0,0
06.7.2015,2015,7,"250,00",,,"250,00","0,00",0,0,0
07.7.2015,2015,7,"250,00",,,"250,00","0,00",0,0,0
08.7.2015,2015,7,"250,00",,,"250,00","0,00",0,0,0
09.7.2015,2015,7,"250,00",,,"250,00","0,00",0,0,0
